episode,step,action,reward,throughput_mbps,delay_ms,loss_rate,utility_score,obs_t_norm,obs_d_norm,obs_l_norm,obs_c_norm,obs_a_norm,terminated
236,1,1,0.6478231549263,6.696,65.330594,0.0,0.6369347117841244,0.6696000099182129,0.21776865422725677,0.0,0.5,0.5,False
236,2,2,0.5917860269546509,6.096,53.44192,0.0,0.5828790478408337,0.6096000075340271,0.17813973128795624,0.0,0.6000000238418579,1.0,False
236,3,2,0.6949860453605652,7.128,53.44192,0.0,0.686079066246748,0.7128000259399414,0.17813973128795624,0.0,0.699999988079071,1.0,False
236,4,2,0.7981860041618347,8.16,53.44192,0.0,0.7892790250480175,0.8159999847412109,0.17813973128795624,0.0,0.800000011920929,1.0,False
236,5,2,0.9037860035896301,9.216,53.44192,0.0,0.8948790244758129,0.9215999841690063,0.17813973128795624,0.0,0.8999999761581421,1.0,False
236,6,2,0.9711509943008423,9.912,60.146965,0.0,0.9611264884471893,0.9911999702453613,0.20048987865447998,0.0,1.0,1.0,False
236,7,2,0.9671294689178467,9.984,93.811444,0.0,0.9514942526817322,0.9983999729156494,0.31270480155944824,0.0,1.0,1.0,False
236,8,2,0.866146981716156,9.984,164.20092,0.007752,0.8387801334261894,0.9983999729156494,0.5473363995552063,0.007751937955617905,1.0,1.0,False
236,9,2,0.511155903339386,9.984,241.636606,0.04067,0.49170142561197283,0.9983999729156494,0.8054553270339966,0.04066985473036766,1.0,1.0,False
236,10,2,0.38321033120155334,9.984,269.482039,0.052536,0.37303766757249834,0.9983999729156494,0.8982734680175781,0.05253623053431511,1.0,1.0,False
236,11,2,-0.09433609992265701,9.984,359.005189,0.099274,-0.09433609843254087,0.9983999729156494,1.0,0.09927360713481903,1.0,1.0,False
236,12,2,-1.0,7.92,288.427751,0.172727,-1.0352727234363557,0.7919999957084656,0.9614258408546448,0.17272727191448212,1.0,1.0,False
236,13,1,0.8859860897064209,9.192,99.641809,0.0,0.8693790972232819,0.9192000031471252,0.33213937282562256,0.0,1.0,0.5,False
236,14,2,-0.03060809150338173,9.984,187.864468,0.096639,-0.061918836832046464,0.9983999729156494,0.6262149214744568,0.09663865715265274,1.0,1.0,False
236,15,2,0.3254406452178955,9.984,192.180093,0.06089,0.29341062903404236,0.9983999729156494,0.640600323677063,0.06088992953300476,1.0,1.0,False
236,16,2,0.939183235168457,9.984,177.650243,0.0,0.9095748484134674,0.9983999729156494,0.5921674966812134,0.0,1.0,1.0,False
236,17,2,0.5343543291091919,5.76,124.936886,0.0,0.5135315328836441,0.5759999752044678,0.41645628213882446,0.0,1.0,1.0,False
236,18,2,0.9553413987159729,9.984,129.175658,0.0,0.9338121429085732,0.9983999729156494,0.4305855333805084,0.0,1.0,1.0,False
236,19,2,0.8963898420333862,9.984,168.730606,0.004577,0.8682680852711201,0.9983999729156494,0.5624353289604187,0.004576658830046654,1.0,1.0,False
236,20,2,0.8899688124656677,9.984,160.909841,0.005479,0.8631505262106657,0.9983999729156494,0.5363661646842957,0.005479452200233936,1.0,1.0,False
236,21,2,0.9576326608657837,10.008,127.102051,0.0,0.9364489734172821,1.0,0.42367351055145264,0.0,1.0,1.0,False
